first,last,age,password,balance
John,Doe,28,Joh@123$,1020
Jane,Smith,34,Jan!456*,875
Michael,Brown,22,Mic#789%,250
Emily,Davis,29,Emi$234&,1425
David,Wilson,41,Dav^567&,3995
Sophia,Johnson,31,Sop*890(,735
Liam,Jones,25,Lia(123$,580
Olivia,Miller,27,Oli)456%,1675
William,Moore,38,Wil#789&,2150
Isabella,White,30,Isa@123*,345
Henry,Garcia,45,Hen!456$,4560
Ava,Martinez,52,Ava$789%,985
Elijah,Lopez,65,Eli@234&,750
Mia,Gonzalez,73,Mia^567*,1250
Lucas,Anderson,16,Luc(890&,150
Amelia,Thomas,5,Ame#123$,50
James,Taylor,80,Jam!456&,2350
Mason,Lee,13,Mas$789*,300
Evelyn,Harris,59,Eve@234%,1420
Alexander,Clark,19,Ale^567(,215
Thomas,Band,26,Cha(890&-,1945
